ID	TIPO	CHEGADA	TEMPO_ESPERA	TEMPO_SERVICO	SAIDA	PASSO	SERVIDOR
237	COMPLEXA	0,26483	1,34214	0,00003	1,60700	AppServerRequest	AppServerRequest1
237	COMPLEXA	1,60700	155,65819	0,00186	157,26706	AppServerResponse	AppServerResponse1
238	REGULAR	0,26617	1,34083	0,00211	1,60911	AppServerRequest	AppServerRequest1
238	REGULAR	1,60911	156,99877	0,00652	158,61440	AppServerResponse	AppServerResponse1
239	REGULAR	0,26621	1,34290	0,00234	1,61145	AppServerRequest	AppServerRequest1
239	REGULAR	1,61145	158,34585	0,01046	159,96776	AppServerResponse	AppServerResponse1
240	COMPLEXA	0,26638	1,34507	0,01002	1,62147	AppServerRequest	AppServerRequest1
240	COMPLEXA	1,62147	159,69136	0,01807	161,33090	AppServerResponse	AppServerResponse1
241	REGULAR	0,26688	1,35459	0,00032	1,62179	AppServerRequest	AppServerRequest1
241	REGULAR	1,62179	161,06370	0,00162	162,68710	AppServerResponse	AppServerResponse1
242	SIMPLES	0,26732	1,35448	0,00050	1,62230	AppServerRequest	AppServerRequest1
242	SIMPLES	1,62230	162,41928	0,00313	164,04471	AppServerResponse	AppServerResponse1
243	COMPLEXA	0,26776	1,35454	0,00352	1,62581	AppServerRequest	AppServerRequest1
243	COMPLEXA	1,62581	163,77343	0,00504	165,40429	AppServerResponse	AppServerResponse1
244	REGULAR	0,26996	1,35585	0,01811	1,64392	AppServerRequest	AppServerRequest1
244	REGULAR	1,64392	165,11622	0,01975	166,77989	AppServerResponse	AppServerResponse1
245	REGULAR	0,27031	1,37362	0,02012	1,66404	AppServerRequest	AppServerRequest1
245	REGULAR	1,66404	166,48947	0,02051	168,17402	AppServerResponse	AppServerResponse1
246	REGULAR	0,27042	1,39362	0,00289	1,66694	AppServerRequest	AppServerRequest1
246	REGULAR	1,66694	167,90071	0,00620	169,57384	AppServerResponse	AppServerResponse1
247	REGULAR	0,27045	1,39649	0,02901	1,69595	AppServerRequest	AppServerRequest1
247	REGULAR	1,69595	169,27438	0,03045	171,00078	AppServerResponse	AppServerResponse1
248	REGULAR	0,27054	1,42541	0,01933	1,71527	AppServerRequest	AppServerRequest1
248	REGULAR	1,71527	170,71092	0,04874	172,47494	AppServerResponse	AppServerResponse1
249	REGULAR	0,27098	1,44429	0,00924	1,72451	AppServerRequest	AppServerRequest1
249	REGULAR	1,72451	172,19472	0,01615	173,93538	AppServerResponse	AppServerResponse1
250	SIMPLES	0,27350	1,45101	0,00164	1,72615	AppServerRequest	AppServerRequest1
250	SIMPLES	1,72615	173,66024	0,00398	175,39037	AppServerResponse	AppServerResponse1
251	COMPLEXA	0,27544	1,45071	0,00234	1,72849	AppServerRequest	AppServerRequest1
